franchise,player_ID,name_common,primary_pos,total_WAR,first_year,last_year
ARI,willima04,Matt Williams,3B,8.3,1998,2003
ARI,lambja01,Jake Lamb,3B,7.5,2014,2020
ARI,suareeu01,Eugenio Suárez,3B,6.4,2024,2025
ARI,escobed01,Eduardo Escobar,3B,6.2,2018,2021
ARI,tracych01,Chad Tracy,3B,5.9,2004,2009
ATL,jonesch06,Chipper Jones,3B,85.3,1993,2012
ATL,evansda01,Darrell Evans,3B,22.9,1969,1989
ATL,rileyau01,Austin Riley,3B,22.5,2019,2025
ATL,hornebo01,Bob Horner,3B,21.6,1978,1986
ATL,pradoma01,Martín Prado,3B,15.8,2006,2012
BAL,machama01,Manny Machado,3B,32,2012,2018
BAL,morame01,Melvin Mora,3B,29,2000,2009
BAL,robinbr01,Brooks Robinson,3B,27.1,1969,1977
BAL,decindo01,Doug DeCinces,3B,22.9,1973,1981
BAL,uriasra01,Ramón Urías,3B,10.6,2020,2025
BOS,boggswa01,Wade Boggs,3B,71.9,1982,1992
BOS,deverra01,Rafael Devers,3B,24.8,2017,2025
BOS,naehrti01,Tim Naehring,3B,12.7,1990,1997
BOS,lowelmi01,Mike Lowell,3B,10.6,2006,2010
BOS,muellbi02,Bill Mueller,3B,10.1,2003,2005
CHC,bryankr01,Kris Bryant,3B,28,2015,2021
CHC,ramirar01,Aramis Ramírez,3B,24.1,2003,2011
CHC,santoro01,Ron Santo,3B,20.1,1969,1973
CHC,madlobi01,Bill Madlock,3B,11.5,1974,1976
CHC,ceyro01,Ron Cey,3B,6,1983,1986
CHW,venturo01,Robin Ventura,3B,39.4,1989,1998
CHW,meltobi01,Bill Melton,3B,17.6,1969,1975
CHW,moncayo01,Yoán Moncada,3B,14.5,2017,2024
CHW,credejo01,Joe Crede,3B,12.4,2000,2008
CHW,soderer01,Eric Soderholm,3B,9,1977,1979
CIN,saboch01,Chris Sabo,3B,17.4,1988,1996
CIN,frazito01,Todd Frazier,3B,14.5,2011,2015
CIN,suareeu01,Eugenio Suárez,3B,12.8,2015,2021
CIN,booneaa01,Aaron Boone,3B,11.7,1997,2003
CIN,rolensc01,Scott Rolen,3B,7.6,2009,2012
CLE,ramirjo01,José Ramírez,3B,57.6,2013,2025
CLE,bellbu01,Buddy Bell,3B,24.5,1972,1978
CLE,harrato01,Toby Harrah,3B,18.7,1979,1983
CLE,nettlgr01,Graig Nettles,3B,17.5,1970,1972
CLE,blakeca01,Casey Blake,3B,16,2003,2008
COL,arenano01,Nolan Arenado,3B,39.7,2013,2020
COL,castivi02,Vinny Castilla,3B,17.5,1993,2006
COL,mcmahry01,Ryan McMahon,3B,16.4,2017,2025
COL,cirilje01,Jeff Cirillo,3B,7.9,2000,2001
COL,atkinga01,Garrett Atkins,3B,5.3,2003,2009
DET,frymatr01,Travis Fryman,3B,27.5,1990,1997
DET,ingebr01,Brandon Inge,3B,18.6,2001,2012
DET,evansda01,Darrell Evans,3B,14.5,1984,1988
DET,brookto01,Tom Brookens,3B,12.4,1979,1988
DET,rodriau01,Aurelio Rodríguez,3B,9.2,1971,1979
HOU,bregmal01,Alex Bregman,3B,39.6,2016,2024
HOU,caminke01,Ken Caminiti,3B,16.7,1987,2000
HOU,raderdo02,Doug Rader,3B,15.3,1969,1975
HOU,ensbemo01,Morgan Ensberg,3B,14.1,2000,2007
HOU,wallide01,Denny Walling,3B,14,1977,1992
KCR,brettge01,George Brett,3B,88.6,1973,1993
KCR,seitzke01,Kevin Seitzer,3B,17.3,1986,1991
KCR,randajo01,Joe Randa,3B,14.9,1995,2004
KCR,moustmi01,Mike Moustakas,3B,11.4,2011,2018
KCR,schaapa01,Paul Schaal,3B,10,1969,1974
LAA,glaustr01,Troy Glaus,3B,22.6,1998,2004
LAA,figgich01,Chone Figgins,3B,22.4,2002,2009
LAA,decindo01,Doug DeCinces,3B,18.9,1982,1987
LAA,izturma01,Maicer Izturis,3B,12.5,2005,2012
LAA,mcmulke01,Ken McMullen,3B,10.3,1970,1972
LAD,ceyro01,Ron Cey,3B,47.7,1971,1982
LAD,turneju01,Justin Turner,3B,34.6,2014,2022
LAD,muncyma01,Max Muncy,3B,27.2,2018,2025
LAD,beltrad01,Adrian Beltré,3B,23.4,1998,2004
LAD,blakeca01,Casey Blake,3B,9.2,2008,2011
MIA,lowelmi01,Mike Lowell,3B,14.2,1999,2005
MIA,anderbr06,Brian Anderson,3B,9.5,2017,2022
MIA,bertijo01,Jon Berti,3B,7.6,2019,2023
MIA,pradoma01,Martín Prado,3B,5.5,2015,2019
MIA,bonilbo01,Bobby Bonilla,3B,2.2,1997,1998
MIL,molitpa01,Paul Molitor,3B,59.9,1978,1992
MIL,moneydo01,Don Money,3B,28.4,1973,1983
MIL,cirilje01,Jeff Cirillo,3B,26.2,1994,2006
MIL,seitzke01,Kevin Seitzer,3B,10.5,1992,1996
MIL,bandosa01,Sal Bando,3B,9.4,1977,1981
MIN,gaettga01,Gary Gaetti,3B,27.1,1981,1990
MIN,koskico01,Corey Koskie,3B,22.1,1998,2004
MIN,castijo01,John Castino,3B,15.2,1979,1984
MIN,soderer01,Eric Soderholm,3B,10.2,1971,1975
MIN,plouftr01,Trevor Plouffe,3B,8.2,2010,2016
NYM,wrighda03,David Wright,3B,49.1,2004,2018
NYM,alfoned01,Edgardo Alfonzo,3B,29.6,1995,2002
NYM,johnsho01,Howard Johnson,3B,22,1985,1993
NYM,magadda01,Dave Magadan,3B,14.1,1986,1992
NYM,garrewa01,Wayne Garrett,3B,13.9,1969,1976
NYY,nettlgr01,Graig Nettles,3B,44.4,1973,1983
NYY,boggswa01,Wade Boggs,3B,18.3,1993,1997
NYY,headlch01,Chase Headley,3B,8.5,2014,2017
NYY,brosisc01,Scott Brosius,3B,8.3,1998,2001
NYY,kenneje01,Jerry Kenney,3B,8.2,1969,1972
OAK,bandosa01,Sal Bando,3B,47.3,1969,1976
OAK,chaveer01,Eric Chavez,3B,35,1998,2010
OAK,lansfca01,Carney Lansford,3B,27.3,1983,1992
OAK,chapmma01,Matt Chapman,3B,22.5,2017,2021
OAK,donaljo02,Josh Donaldson,3B,15.3,2010,2014
PHI,schmimi01,Mike Schmidt,3B,106.9,1972,1989
PHI,rolensc01,Scott Rolen,3B,29.2,1996,2002
PHI,hollida01,Dave Hollins,3B,10.9,1990,2002
PHI,moneydo01,Don Money,3B,8.1,1969,1972
PHI,bellda01,David Bell,3B,5.7,2003,2006
PIT,hebneri01,Richie Hebner,3B,23.1,1969,1983
PIT,bonilbo01,Bobby Bonilla,3B,20.4,1986,1991
PIT,madlobi01,Bill Madlock,3B,16.3,1979,1985
PIT,hayeske01,Ke'Bryan Hayes,3B,14.6,2020,2025
PIT,kingje01,Jeff King,3B,10.9,1989,1996
SDP,machama01,Manny Machado,3B,27.1,2019,2025
SDP,headlch01,Chase Headley,3B,18.3,2007,2018
SDP,nevinph01,Phil Nevin,3B,17.8,1999,2005
SDP,caminke01,Ken Caminiti,3B,17.5,1995,1998
SDP,salazlu01,Luis Salazar,3B,6.7,1980,1989
SEA,martied01,Edgar Martínez,3B,68.4,1987,2004
SEA,seageky01,Kyle Seager,3B,37,2011,2021
SEA,beltrad01,Adrian Beltré,3B,21.2,2005,2009
SEA,suareeu01,Eugenio Suárez,3B,6.8,2022,2025
SEA,blowemi01,Mike Blowers,3B,5.9,1992,1999
SFG,willima04,Matt Williams,3B,34,1987,1996
SFG,evansda01,Darrell Evans,3B,21.4,1976,1983
SFG,sandopa01,Pablo Sandoval,3B,20.8,2008,2020
SFG,chapmma01,Matt Chapman,3B,11.3,2024,2025
SFG,muellbi02,Bill Mueller,3B,10.2,1996,2002
STL,carpema01,Matt Carpenter,3B,26.7,2011,2024
STL,rolensc01,Scott Rolen,3B,25.9,2002,2007
STL,arenano01,Nolan Arenado,3B,18.1,2021,2025
STL,oberkke01,Ken Oberkfell,3B,17.1,1977,1984
STL,pendlte01,Terry Pendleton,3B,15.1,1984,1990
TBR,longoev01,Evan Longoria,3B,51.7,2008,2017
TBR,paredis01,Isaac Paredes,3B,9,2022,2024
TBR,caminju01,Junior Caminero,3B,5.1,2023,2025
TBR,duffyma01,Matt Duffy,3B,3,2016,2019
TBR,johnsru01,Russ Johnson,3B,2.7,2000,2002
TEX,beltrad01,Adrian Beltré,3B,41.3,2011,2018
TEX,bellbu01,Buddy Bell,3B,36.3,1979,1989
TEX,harrato01,Toby Harrah,3B,32.3,1969,1986
TEX,blaloha01,Hank Blalock,3B,13.5,2002,2009
TEX,buechst01,Steve Buechele,3B,11,1985,1995
TOR,encared01,Edwin Encarnación,3B,24.8,2009,2016
TOR,donaljo02,Josh Donaldson,3B,19.8,2015,2018
TOR,grubeke01,Kelly Gruber,3B,16.1,1984,1992
TOR,mullira01,Rance Mulliniks,3B,15.8,1982,1992
TOR,lawribr01,Brett Lawrie,3B,12.7,2011,2014
WSN,zimmery01,Ryan Zimmerman,3B,40.1,2005,2021
WSN,wallati01,Tim Wallach,3B,37,1980,1992
WSN,rendoan01,Anthony Rendon,3B,30.3,2013,2019
WSN,bailebo01,Bob Bailey,3B,18.4,1969,1975
WSN,parrila01,Larry Parrish,3B,10.9,1974,1981
