franchise,player_ID,name_common,primary_pos,total_WAR,first_year,last_year
ARI,johnsra05,Randy Johnson,P,52.6,1999,2008
ARI,webbbr01,Brandon Webb,P,33,2003,2009
ARI,schilcu01,Curt Schilling,P,25.9,2000,2003
ARI,galleza01,Zac Gallen,P,19.4,2019,2025
ARI,kellyme01,Merrill Kelly,P,16.6,2019,2025
ATL,smoltjo01,John Smoltz,P,66.9,1988,2008
ATL,maddugr01,Greg Maddux,P,66.2,1993,2003
ATL,glavito02,Tom Glavine,P,58.7,1987,2008
ATL,hudsoti01,Tim Hudson,P,24,2005,2013
ATL,friedma01,Max Fried,P,22.9,2017,2024
BAL,mussimi01,Mike Mussina,P,47.7,1991,2000
BAL,guthrje01,Jeremy Guthrie,P,16.1,2007,2011
BAL,bedarer01,Érik Bédard,P,12.8,2002,2007
BAL,ponsosi01,Sidney Ponson,P,12.1,1998,2005
BAL,odayda01,Darren O'Day,P,11.3,2012,2018
BOS,martipe02,Pedro Martínez,P,53.8,1998,2004
BOS,wakefti01,Tim Wakefield,P,32.7,1995,2011
BOS,lestejo01,Jon Lester,P,29.9,2006,2014
BOS,beckejo02,Josh Beckett,P,22.3,2006,2012
BOS,lowede01,Derek Lowe,P,19.4,1997,2004
CHC,zambrca01,Carlos Zambrano,P,37.7,2001,2011
CHC,woodke02,Kerry Wood,P,25.5,1998,2012
CHC,hendrky01,Kyle Hendricks,P,22.1,2014,2024
CHC,dempsry01,Ryan Dempster,P,19.8,2004,2012
CHC,arrieja01,Jake Arrieta,P,17.9,2013,2021
CHW,buehrma01,Mark Buehrle,P,48.9,2000,2011
CHW,salech01,Chris Sale,P,30.2,2010,2016
CHW,quintjo01,Jose Quintana,P,21.2,2012,2017
CHW,danksjo01,John Danks,P,20.4,2007,2016
CHW,garlajo01,Jon Garland,P,18.4,2000,2007
CIN,cuetojo01,Johnny Cueto,P,25.1,2008,2015
CIN,arroybr01,Bronson Arroyo,P,19.1,2006,2017
CIN,haranaa01,Aaron Harang,P,18.2,2003,2010
CIN,castilu02,Luis Castillo,P,17.8,2017,2022
CIN,greenhu01,Hunter Greene,P,13.5,2022,2025
CLE,klubeco01,Corey Kluber,P,32.5,2011,2019
CLE,sabatc.01,CC Sabathia,P,27.5,2001,2008
CLE,colonba01,Bartolo Colón,P,22.7,1997,2002
CLE,carraca01,Carlos Carrasco,P,20.2,2009,2024
CLE,biebesh01,Shane Bieber,P,17.8,2018,2024
COL,freelky01,Kyle Freeland,P,19.2,2017,2025
COL,jimenub01,Ubaldo Jiménez,P,18.9,2006,2011
COL,cookaa01,Aaron Cook,P,17.1,2002,2011
COL,rosajo01,Jorge De La Rosa,P,15.5,2008,2016
COL,marquge01,Germán Márquez,P,14.8,2016,2025
DET,verlaju01,Justin Verlander,P,56.6,2005,2017
DET,scherma01,Max Scherzer,P,21.4,2010,2014
DET,skubata01,Tarik Skubal,P,17.9,2020,2025
DET,fulmemi01,Michael Fulmer,P,12.2,2016,2022
DET,porceri01,Rick Porcello,P,10.6,2009,2014
HOU,oswalro01,Roy Oswalt,P,45.7,2001,2010
HOU,verlaju01,Justin Verlander,P,22.3,2017,2024
HOU,valdefr01,Framber Valdez,P,18.9,2018,2025
HOU,keuchda01,Dallas Keuchel,P,17.4,2012,2018
HOU,clemero02,Roger Clemens,P,16.7,2004,2006
KCR,greinza01,Zack Greinke,P,29.8,2004,2023
KCR,duffyda01,Danny Duffy,P,20.2,2011,2021
KCR,soriajo01,Joakim Soria,P,14.3,2007,2017
KCR,hollagr01,Greg Holland,P,11.3,2010,2021
KCR,herreke01,Kelvin Herrera,P,10.6,2011,2018
LAA,weaveje02,Jered Weaver,P,36,2006,2016
LAA,lackejo01,John Lackey,P,24.8,2002,2009
LAA,washbja01,Jarrod Washburn,P,20.2,1998,2005
LAA,rodrifr03,Francisco Rodríguez,P,16,2002,2008
LAA,ohtansh01,Shohei Ohtani,P,15,2018,2023
LAD,kershcl01,Clayton Kershaw,P,78.1,2008,2025
LAD,brownke01,Kevin Brown,P,20.4,1999,2003
LAD,janseke01,Kenley Jansen,P,18.7,2010,2021
LAD,greinza01,Zack Greinke,P,17.7,2013,2015
LAD,billich01,Chad Billingsley,P,17.3,2006,2013
MIA,johnsjo09,Josh Johnson,P,25.8,2005,2012
MIA,alcansa01,Sandy Alcantara,P,20.7,2018,2025
MIA,willido03,Dontrelle Willis,P,17.2,2003,2007
MIA,sanchan01,Aníbal Sánchez,P,14.1,2006,2012
MIA,fernajo02,José Fernández,P,13.1,2013,2016
MIL,sheetbe01,Ben Sheets,P,25.6,2001,2008
MIL,woodrbr01,Brandon Woodruff,P,18,2017,2025
MIL,gallayo01,Yovani Gallardo,P,15.5,2007,2014
MIL,peralfr01,Freddy Peralta,P,14.9,2018,2025
MIL,burneco01,Corbin Burnes,P,13.6,2018,2023
MIN,radkebr01,Brad Radke,P,45.6,1995,2006
MIN,santajo02,Johan Santana,P,35.8,2000,2007
MIN,nathajo01,Joe Nathan,P,18.4,2004,2011
MIN,bakersc02,Scott Baker,P,15.8,2005,2011
MIN,miltoer01,Eric Milton,P,14.7,1998,2003
NYM,degroja01,Jacob deGrom,P,41.2,2014,2022
NYM,leiteal01,Al Leiter,P,28,1998,2004
NYM,glavito02,Tom Glavine,P,15.3,2003,2007
NYM,santajo02,Johan Santana,P,15.3,2008,2012
NYM,syndeno01,Noah Syndergaard,P,13.7,2015,2021
NYY,riverma01,Mariano Rivera,P,56.3,1995,2013
NYY,pettian01,Andy Pettitte,P,51.3,1995,2013
NYY,mussimi01,Mike Mussina,P,35.1,2001,2008
NYY,sabatc.01,CC Sabathia,P,29.4,2009,2019
NYY,clemero02,Roger Clemens,P,21.2,1999,2007
OAK,hudsoti01,Tim Hudson,P,31,1999,2004
OAK,zitoba01,Barry Zito,P,30.6,2000,2015
OAK,muldema01,Mark Mulder,P,19.7,2000,2004
OAK,harderi01,Rich Harden,P,13,2003,2011
OAK,manaese01,Sean Manaea,P,12.4,2016,2021
PHI,hamelco01,Cole Hamels,P,42,2006,2015
PHI,nolaaa01,Aaron Nola,P,35.3,2015,2025
PHI,wheelza01,Zack Wheeler,P,30.4,2020,2025
PHI,leecl02,Cliff Lee,P,21.3,2009,2014
PHI,suarera01,Ranger Suárez,P,17.8,2018,2025
PIT,skenepa01,Paul Skenes,P,13.5,2024,2025
PIT,maholpa01,Paul Maholm,P,11.8,2005,2011
PIT,colege01,Gerrit Cole,P,11,2013,2017
PIT,bensokr01,Kris Benson,P,9.3,1999,2004
PIT,watsoto01,Tony Watson,P,9.3,2011,2017
SDP,hoffmtr01,Trevor Hoffman,P,26,1993,2008
SDP,peavyja01,Jake Peavy,P,24.8,2002,2009
SDP,musgrjo01,Joe Musgrove,P,11,2021,2024
SDP,snellbl01,Blake Snell,P,10.1,2021,2023
SDP,darviyu01,Yu Darvish,P,8.8,2021,2025
SEA,hernafe02,Félix Hernández,P,49.9,2005,2019
SEA,moyerja01,Jamie Moyer,P,34.2,1996,2006
SEA,garcifr03,Freddy García,P,18.6,1999,2004
SEA,iwakuhi01,Hisashi Iwakuma,P,17,2012,2017
SEA,gilbelo01,Logan Gilbert,P,11.7,2021,2025
SFG,bumgama01,Madison Bumgarner,P,32.8,2009,2019
SFG,cainma01,Matt Cain,P,29.2,2005,2017
SFG,schmija01,Jason Schmidt,P,22.7,2001,2006
SFG,linceti01,Tim Lincecum,P,21.5,2007,2015
SFG,webblo01,Logan Webb,P,21.2,2019,2025
STL,wainwad01,Adam Wainwright,P,41,2005,2023
STL,carpech01,Chris Carpenter,P,27.6,2004,2012
STL,morrima01,Matt Morris,P,18.7,1997,2005
STL,lynnla01,Lance Lynn,P,15.2,2011,2024
STL,martica04,Carlos Martínez,P,12.9,2013,2021
