franchise,player_ID,name_common,primary_pos,total_WAR,first_year,last_year
ARI,montemi01,Miguel Montero,C,13.5,2006,2014
ARI,morenga01,Gabriel Moreno,C,8.4,2023,2025
ARI,milleda02,Damian Miller,C,5.9,1998,2002
ARI,snydech02,Chris Snyder,C,4.6,2004,2010
ARI,kellyca02,Carson Kelly,C,4.3,2019,2023
ATL,torrejo01,Joe Torre,C,33.3,1960,1968
ATL,crandde01,Del Crandall,C,26.9,1949,1963
ATL,mccanbr01,Brian McCann,C,24.5,2005,2019
ATL,lopezja01,Javy López,C,23.4,1992,2003
ATL,gowdyha01,Hank Gowdy,C,19,1911,1930
BAL,hoilech01,Chris Hoiles,C,23.5,1989,1998
BAL,dempsri01,Rick Dempsey,C,21.2,1976,1992
BAL,severha01,Hank Severeid,C,18.9,1915,1925
BAL,wietema01,Matt Wieters,C,18.1,2009,2016
BAL,rutscad01,Adley Rutschman,C,15.1,2022,2025
BOS,fiskca01,Carlton Fisk,C,39.5,1969,1980
BOS,varitja01,Jason Varitek,C,24.2,1997,2011
BOS,carribi02,Bill Carrigan,C,13.2,1906,1916
BOS,ferreri01,Rick Ferrell,C,11.9,1933,1937
BOS,gedmari01,Rich Gedman,C,11.7,1980,1990
CHC,hartnga01,Gabby Hartnett,C,54.5,1922,1940
CHC,klingjo01,Johnny Kling,C,25.7,1900,1911
CHC,contrwi01,Willson Contreras,C,20.5,2016,2022
CHC,davisjo02,Jody Davis,C,17.2,1981,1988
CHC,wilkiri01,Rick Wilkins,C,12.2,1991,1995
CHW,schalra01,Ray Schalk,C,33.1,1912,1928
CHW,fiskca01,Carlton Fisk,C,28.9,1981,1993
CHW,lollash01,Sherm Lollar,C,25.6,1952,1963
CHW,karkoro01,Ron Karkovice,C,14.6,1986,1997
CHW,sullibi03,Billy Sullivan,C,8.4,1901,1914
CIN,benchjo01,Johnny Bench,C,75.1,1967,1983
CIN,lombaer01,Ernie Lombardi,C,26.1,1932,1941
CIN,baileed01,Ed Bailey,C,18.7,1953,1961
CIN,hargrbu01,Bubbles Hargrave,C,16.8,1921,1928
CIN,wingoiv01,Ivey Wingo,C,13.8,1915,1929
CLE,martivi01,Víctor Martínez,C,19.2,2002,2009
CLE,romanjo01,John Romano,C,14.6,1960,1964
CLE,alomasa02,Sandy Alomar,C,13.3,1990,2000
CLE,gomesya01,Yan Gomes,C,12.2,2013,2018
CLE,fossera01,Ray Fosse,C,10.7,1967,1977
COL,iannech01,Chris Iannetta,C,7.1,2006,2019
COL,diazel01,Elias Díaz,C,5.3,2020,2024
COL,reedje02,Jeff Reed,C,4.2,1996,1999
COL,goodmhu01,Hunter Goodman,C,2.3,2023,2025
COL,wolteto01,Tony Wolters,C,2.1,2016,2020
DET,freehbi01,Bill Freehan,C,44.7,1961,1976
DET,parrila02,Lance Parrish,C,30.1,1977,1986
DET,bassljo01,Johnny Bassler,C,20.9,1921,1927
DET,tettlmi01,Mickey Tettleton,C,14.8,1991,1994
DET,rodriiv01,Iván Rodríguez,C,14.2,2004,2008
HOU,castrja01,Jason Castro,C,9.2,2010,2022
HOU,diazya02,Yainer Diaz,C,9,2022,2025
HOU,ashbyal01,Alan Ashby,C,7.9,1979,1989
HOU,fergujo01,Joe Ferguson,C,6.2,1977,1978
